Código,Termo
3E-18-00-00-00-00-00,Elementos de impermeabilização
3E-18-02-00-00-00-00,Elementos de regularização da impermeabilização
3E-18-04-00-00-00-00,Elementos impermeabilizante
3E-18-06-00-00-00-00,Elementos de isolamento térmico da impermeabilização
3E-18-08-00-00-00-00,Elementos de proteção mecânica da impermeabilização
3E-20-00-00-00-00-00,Elementos de aberturas
3E-20-02-00-00-00-00,Elementos de aberturas para circulação
3E-20-02-02-00-00-00,Portas
3E-20-02-02-02-00-00,Porta de correr
3E-20-02-02-04-00-00,Porta de girar
3E-20-02-02-06-00-00,Porta camarão
3E-20-02-02-08-00-00,Porta de enrolar
3E-20-02-02-10-00-00,Porta pivotante
3E-20-02-02-12-00-00,Porta giratória
3E-20-02-04-00-00-00,Alçapões
3E-20-04-00-00-00-00,Elementos de aberturas para ventilação e iluminação natural
3E-20-04-02-00-00-00,Janelas
3E-20-04-02-02-00-00,Janela de correr
3E-20-04-02-04-00-00,Janela pivotante
3E-20-04-02-06-00-00,Janela basculante
3E-20-04-02-08-00-00,Janela projetante
3E-20-04-02-10-00-00,Janela guilhotina
3E-20-04-04-00-00-00,Domus
3E-20-04-06-00-00-00,Cúpula
3E-20-04-08-00-00-00,Claraboia
3E-20-04-10-00-00-00,Átrio para iluminação e ventilação
3E-20-04-12-00-00-00,Lantemim
3E-20-04-14-00-00-00,Shed
3E-22-00-00-00-00-00,Elementos acústicos
3E-22-02-00-00-00-00,Elementos absorvedores
3E-22-04-00-00-00-00,Elementos de barreira
3E-22-06-00-00-00-00,Elementos atenuadores
3E-22-08-00-00-00-00,Elementos de enclausuramento
3E-24-00-00-00-00-00,Elementos de redes de transmissão de eletricidade
3E-24-02-00-00-00-00,Linhas de transmissão
3E-24-04-00-00-00-00,Rede de distribuição
3E-24-06-00-00-00-00,Subestação de distribuição
3E-24-08-00-00-00-00,Transformador de distribuição
3E-26-00-00-00-00-00,Elementos de instalações prediais de eletricidade
3E-26-02-00-00-00-00,Ramais de fornecimento de corrente
3E-26-02-02-00-00-00,Ramal de ligação
3E-26-02-04-00-00-00,Ramal de entrada
3E-26-02-06-00-00-00,Ramal alimentador
3E-26-04-00-00-00-00,Elementos para a interrupção de corrente
3E-26-04-02-00-00-00,Fusíveis
3E-26-04-02-02-00-00,Fusível para proteção de uso geral
3E-26-04-02-04-00-00,Fusível de circuitos motores
3E-26-04-02-06-00-00,Fusível para proteção de semicondutores
3E-26-04-04-00-00-00,Disjuntores
3E-26-04-06-00-00-00,Dispositivo diferencial-residual (DR)
3E-26-06-00-00-00-00,Elementos para o isolamento de corrente
3E-26-06-02-00-00-00,Seccionador
3E-26-06-04-00-00-00,Isolador
3E-26-06-06-00-00-00,Resistor de aterramento
3E-26-06-08-00-00-00,Disparador diferencial
3E-26-06-10-00-00-00,Limitador de sobretensões
3E-26-08-00-00-00-00,Elementos para a estabilização de corrente
3E-26-08-02-00-00-00,Dispositivo de proteção contra sobretensões elétricas (DPS-e)
3E-26-08-04-00-00-00,Dispositivo de proteção contra surtos
3E-26-08-06-00-00-00,Barramento de equipotencialização principal (BEP)
3E-26-10-00-00-00-00,Elementos para dispersão de descargas elétricas
3E-26-10-02-00-00-00,Aterramento funcional
3E-26-10-04-00-00-00,Aterramento de proteção
3E-26-10-06-00-00-00,Aterramento de trabalho
3E-26-10-08-00-00-00,Aterramento para entrada de energia/entrada de serviço
3E-26-10-10-00-00-00,Rede captora de descargas
3E-26-10-12-00-00-00,Eletrodo para a dispersão de descargas elétricas
